step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,M_baryon,M_halo,M_total,Halo_Ratio,V_virial
1752,1.7529999999999177,0.04719207248806068,5961560079.715266,0.0,0.0,0.0,0.10892045246064591,1e-12,True,0.03137168815541976,0.01582038433264092,24.584465974440498,119231175.85444456,119231200.43891054,4849858.279352281,10919.304080128244
1753,1.7539999999999176,0.04519882322530891,6038876038.81987,0.0,0.0,0.0,0.1378860447617815,1e-12,True,0.033678270032477226,0.01152055319283168,23.359062273923527,120777496.1919314,120777519.55099367,5170477.083816363,10989.882655260582
1754,1.7549999999999175,0.03613138086196922,6945852775.343082,0.0,0.0,0.0,0.16853112809638693,1e-12,True,0.028546987717015228,0.007584393144954002,22.15863225608509,138917032.14779937,138917054.30643162,6269206.0834838515,11786.307967589411
1755,1.7559999999999174,0.03686111725395159,4858897410.3593025,0.0,0.0,0.0,0.10774880070633382,1e-12,True,0.029158581184733995,0.007702536069217594,22.019505919533458,97177926.04855378,97177948.0680597,4413265.511009227,9857.88761384436
1756,1.7569999999999173,0.04033581335443397,5075431969.9067335,0.0,0.0,0.0,0.17396188259045128,1e-12,True,0.032630846937866886,0.007704966416567084,21.416542643335617,101508617.37862875,101508638.7951714,4739729.426190851,10075.149596811685
1757,1.7579999999999172,0.03216627696377736,6515990032.278863,0.0,0.0,0.0,0.07634255550204598,1e-12,True,0.025101437718318645,0.007064839245458716,20.342706648276895,130319779.22903459,130319799.57174124,6406216.315057905,11415.769822731065
1758,1.758999999999917,0.032020481649327776,3403579470.4136105,0.0,0.0,0.0,0.11841810513802532,1e-12,True,0.024840854808455933,0.007179626840871843,20.55497031710221,68071569.06556556,68071589.62053588,3311684.133429118,8250.550854838251
1759,1.759999999999917,0.03127497993297612,3316716714.8583455,0.0,0.0,0.0,0.042300510033760286,1e-12,True,0.022747220274964883,0.008527759658011235,21.136420692281654,66334313.74219659,66334334.87861728,3138389.1674374826,8144.589265099064
1760,1.7609999999999169,0.03459389149914992,2425544931.042019,0.0,0.0,0.0,0.05169435585276455,1e-12,True,0.023135676088248514,0.0114582154109014,22.209634268343716,48510877.48441969,48510899.694053955,2184226.759257354,6964.976570013741
1761,1.7619999999999167,0.034931275792203356,2602580708.481378,0.0,0.0,0.0,0.05109773758248291,1e-12,True,0.024106638704970332,0.010824637087233021,23.407027451237035,52051591.95999329,52051615.36702074,2223759.1708817626,7214.68046205981
1762,1.7629999999999166,0.037811069685142085,2992196180.0421953,0.0,0.0,0.0,0.06941644970993265,1e-12,True,0.024808286625275365,0.013002783059866716,24.187710191594228,59843900.19381645,59843924.38152664,2474144.915633205,7735.88544388061
1763,1.7639999999999165,0.0411653755718035,3262899469.9531975,0.0,0.0,0.0,0.10146660627991604,1e-12,True,0.026955273137537046,0.014210102434266457,25.234605872420452,65257965.211353764,65257990.445959635,2586050.5029757493,8078.241726951723
1764,1.7649999999999164,0.04605890089324118,4135239355.806022,0.0,0.0,0.0,0.1462565644625713,1e-12,True,0.02820665411689164,0.017852246776349542,25.633830757134277,82704761.88151458,82704787.51534534,3226391.0401011845,9094.217234931242
1765,1.7659999999999163,0.04529982271087663,4657269334.389753,0.0,0.0,0.0,0.08492269557448057,1e-12,True,0.02664225290144119,0.01865756980943544,25.909868358170428,93145361.05396432,93145386.96383268,3594976.236959415,9651.185765894006
1766,1.7669999999999162,0.04318146907667803,3972999744.634408,0.0,0.0,0.0,0.0970656797541963,1e-12,True,0.026826817440060078,0.01635465163661795,25.8940350051974,79459968.9828198,79459994.8768548,3068659.2091113683,8914.033592750711
