step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,kinetic_energy,max_velocity
1600,1.6009999999999345,-3.665740610382959,0.0,0.45241437472216595,0.0,0.0,1.9664554216625905,0.95,True,7.500786065020435e-05,-4.118229992965776,7672.09088185965,16.263286746601448
1700,1.7009999999999235,-4.208299200247108,0.0,0.5726900625323152,0.0,0.0,2.0873731898964523,0.95,True,9.488477846022408e-05,-4.781084147557882,9706.522871160658,18.197971038343237
1800,1.8009999999999124,-4.821750380157399,0.0,0.7169520717325151,0.0,0.0,2.216656719716215,0.95,True,0.00011872198049702132,-5.538821173870412,12146.692744670076,20.26650751545944
1900,1.9009999999999014,-5.515432383539062,0.0,0.8889131063353083,0.0,0.0,2.354740614309564,0.95,True,0.0001471316514867838,-6.404492621525856,15055.405638587166,22.475849828953027
2000,2.0009999999998906,-6.299907603565158,0.0,1.0927978690911035,0.0,0.0,2.502101912027973,0.95,True,0.0001808102818798476,-7.392886282938142,18504.128283952792,24.833630592447566
2100,2.1009999999998796,-7.187124701956359,0.0,1.333414095326665,0.0,0.0,2.6592605877279647,0.95,True,0.0002205503499922349,-8.520759347633016,22574.190760523015,27.348169403647436
2200,2.2009999999998686,-8.190601731909577,0.0,1.6162328494873042,0.0,0.0,2.8267804154455147,0.95,True,0.00026725352498191315,-9.807101834921863,27358.14496781414,30.028486647128236
2300,2.3009999999998576,-9.325633123708048,0.0,1.9474793295117505,0.0,0.0,3.0052701661889047,0.95,True,0.0003219455948781352,-11.273434398814677,32961.30088075205,32.88432265902247
2400,2.4009999999998466,-10.609523732752026,0.0,2.334235590193452,0.0,0.0,3.1953851203266446,0.95,True,0.00038579335107044214,-12.94414511629655,39503.46446665637,35.92616192522631
2500,2.5009999999998356,-12.061853553613329,0.0,2.78455678302051,0.0,0.0,3.3978288790004565,0.95,True,0.0004601236911721241,-14.846870460325013,47120.90429333945,39.16526206400731
2600,2.6009999999998246,-13.70477716539131,0.0,3.3076027199111193,0.0,0.0,3.613355463326374,0.95,True,0.0005464452365365662,-17.012926330538964,55968.577410276805,42.61368741322198
2700,2.7009999999998136,-15.56336249943621,0.0,3.9137868052833245,0.0,0.0,3.842771693959862,0.95,True,0.0006464727994979682,-19.477795777519027,66222.64909553446,46.28434710335779
2800,2.8009999999998025,-17.66597411790255,0.0,4.614944648857166,0.0,0.0,4.086939846979886,0.95,True,0.000762155079257668,-22.281680921838976,78083.34559538524,50.19103755167818
2900,2.9009999999997915,-20.04470686933749,0.0,5.424524974733284,0.0,0.0,4.34678058506511,0.95,True,0.0008957060149376811,-25.470127550085703,91778.18411324173,54.34848936104176
3000,3.0009999999997805,-22.735876555672576,0.0,6.357805785369557,0.0,0.0,4.623276165656292,0.95,True,0.001049640280448621,-29.094731981322585,107565.63010996339,58.77241865050067
3100,3.1009999999997695,-25.78057511511041,0.0,7.432139127410364,0.0,0.0,4.917473930276776,0.95,True,0.0012268134693386322,-33.213941055990105,125739.23854885812,63.47958288442841
3200,3.2009999999997585,-29.225298810630022,0.0,8.667228245904766,0.0,0.0,5.230490081464296,0.95,True,0.0014304675896813042,-37.89395752412446,146632.34315722866,68.48784130342874
