Price,Close,High,Low,Open,Volume
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI
Date,,,,,
2013-03-01,14089.66015625,14107.08984375,13937.599609375,14054.490234375,125920000
2013-03-04,14127.8203125,14128.2099609375,14030.3701171875,14089.66015625,110810000
2013-03-05,14253.76953125,14286.3701171875,14127.8203125,14127.8203125,112100000
2013-03-06,14296.240234375,14320.650390625,14253.0,14253.76953125,116510000
2013-03-07,14329.490234375,14354.6904296875,14296.240234375,14296.240234375,117080000
2013-03-08,14397.0703125,14413.169921875,14329.490234375,14329.490234375,115630000
2013-03-11,14447.2900390625,14448.0595703125,14373.3203125,14397.0703125,94880000
2013-03-12,14450.0595703125,14478.7998046875,14412.0595703125,14447.2900390625,102100000
2013-03-13,14455.2802734375,14472.7998046875,14411.66015625,14450.0595703125,83920000
2013-03-14,14539.1396484375,14539.2900390625,14455.2802734375,14455.2802734375,117390000
2013-03-15,14514.1103515625,14539.1396484375,14470.5,14539.1396484375,407770000
2013-03-18,14452.0595703125,14521.58984375,14404.2099609375,14514.1103515625,119640000
2013-03-19,14455.8203125,14514.33984375,14382.08984375,14452.0595703125,122170000
2013-03-20,14511.73046875,14546.8203125,14455.8203125,14455.8203125,121240000
2013-03-21,14421.490234375,14511.73046875,14383.01953125,14511.73046875,110450000
2013-03-22,14512.0302734375,14519.9501953125,14421.490234375,14421.490234375,101450000
2013-03-25,14447.75,14563.75,14395.0,14512.0302734375,124840000
2013-03-26,14559.650390625,14561.5400390625,14447.75,14447.75,96030000
2013-03-27,14526.16015625,14559.650390625,14439.5498046875,14559.650390625,92680000
2013-03-28,14578.5400390625,14585.099609375,14520.8603515625,14526.16015625,153710000
2013-04-01,14572.849609375,14605.7197265625,14531.48046875,14578.5400390625,91400000
2013-04-02,14662.009765625,14684.490234375,14572.849609375,14572.849609375,98420000
2013-04-03,14550.349609375,14683.1298828125,14525.3603515625,14662.009765625,127140000
2013-04-04,14606.1103515625,14625.240234375,14538.7197265625,14550.349609375,104790000
2013-04-05,14565.25,14606.1103515625,14434.4296875,14606.1103515625,131250000
2013-04-08,14613.48046875,14613.48046875,14497.7998046875,14565.25,106680000
2013-04-09,14673.4599609375,14716.4599609375,14598.5,14613.48046875,128580000
2013-04-10,14802.240234375,14826.66015625,14673.4599609375,14673.4599609375,120520000
2013-04-11,14865.1396484375,14887.509765625,14785.3603515625,14802.240234375,144570000
2013-04-12,14865.0595703125,14865.2099609375,14790.5703125,14865.1396484375,119570000
2013-04-15,14599.2001953125,14865.0595703125,14598.580078125,14865.0595703125,161680000
2013-04-16,14756.7802734375,14761.73046875,14599.2001953125,14599.2001953125,126320000
2013-04-17,14618.58984375,14756.7802734375,14560.8095703125,14756.7802734375,168010000
2013-04-18,14537.1396484375,14650.259765625,14495.2900390625,14618.58984375,158050000
2013-04-19,14547.509765625,14553.73046875,14444.0302734375,14537.1396484375,207200000
2013-04-22,14567.169921875,14588.830078125,14457.599609375,14547.509765625,146890000
2013-04-23,14719.4599609375,14721.419921875,14554.2900390625,14567.169921875,137320000
2013-04-24,14676.2998046875,14747.419921875,14666.5400390625,14719.4599609375,138020000
2013-04-25,14700.7998046875,14768.0498046875,14665.4501953125,14676.2998046875,129600000
2013-04-26,14712.5498046875,14743.490234375,14684.8203125,14700.7998046875,128910000
2013-04-29,14818.75,14844.9599609375,14712.5498046875,14712.5498046875,97060000
2013-04-30,14839.7998046875,14839.7998046875,14734.4697265625,14818.75,148250000
2013-05-01,14700.9501953125,14839.7998046875,14687.0498046875,14839.7998046875,112620000
2013-05-02,14831.580078125,14834.6298828125,14700.9501953125,14700.9501953125,91180000
2013-05-03,14973.9599609375,15009.58984375,14831.580078125,14831.580078125,119890000
2013-05-06,14968.8896484375,14988.8701171875,14941.08984375,14973.9599609375,116160000
2013-05-07,15056.2001953125,15056.669921875,14968.8896484375,14968.8896484375,117230000
2013-05-08,15105.1201171875,15106.8095703125,15021.8701171875,15056.2001953125,113510000
2013-05-09,15082.6201171875,15144.830078125,15046.8701171875,15105.1201171875,97810000
2013-05-10,15118.490234375,15118.490234375,15038.1796875,15082.6201171875,98980000
2013-05-13,15091.6796875,15113.419921875,15053.4599609375,15113.419921875,94280000
2013-05-14,15215.25,15219.5498046875,15089.2998046875,15091.6796875,124590000
2013-05-15,15275.6904296875,15301.33984375,15175.3896484375,15211.8701171875,124030000
2013-05-16,15233.2197265625,15302.490234375,15215.8203125,15273.919921875,145090000
2013-05-17,15354.400390625,15357.400390625,15234.75,15234.75,175750000
2013-05-20,15335.2802734375,15391.83984375,15314.150390625,15348.330078125,116420000
2013-05-21,15387.580078125,15434.5,15325.6796875,15334.9697265625,122970000
2013-05-22,15307.169921875,15542.400390625,15265.9599609375,15387.1201171875,171850000
2013-05-23,15294.5,15348.41015625,15180.23046875,15300.5703125,148810000
2013-05-24,15303.099609375,15306.7099609375,15199.6298828125,15290.740234375,105660000
2013-05-28,15409.3896484375,15521.490234375,15307.330078125,15307.330078125,130680000
2013-05-29,15302.7998046875,15400.25,15229.5302734375,15399.9404296875,114020000
2013-05-30,15324.5302734375,15398.7001953125,15280.990234375,15306.01953125,121150000
2013-05-31,15115.5703125,15392.3798828125,15115.5703125,15322.2197265625,208830000
2013-06-03,15254.0302734375,15254.1103515625,15123.5498046875,15123.5498046875,147980000
2013-06-04,15177.5400390625,15304.98046875,15100.7802734375,15255.2197265625,134280000
2013-06-05,14960.58984375,15168.6298828125,14945.5703125,15168.099609375,141400000
2013-06-06,15040.6201171875,15040.6201171875,14844.2197265625,14955.4501953125,140410000
2013-06-07,15248.1201171875,15255.580078125,15044.4599609375,15044.4599609375,137380000
2013-06-10,15238.58984375,15300.6396484375,15211.25,15247.8095703125,94250000
2013-06-11,15122.01953125,15251.0703125,15086.08984375,15231.3798828125,101610000
2013-06-12,14995.23046875,15241.2802734375,14981.2099609375,15130.3896484375,105770000
2013-06-13,15176.080078125,15202.26953125,14953.4501953125,14992.5400390625,104490000
2013-06-14,15070.1796875,15205.919921875,15044.7998046875,15178.080078125,107430000
2013-06-17,15179.849609375,15261.7099609375,15078.7099609375,15078.7099609375,139250000
2013-06-18,15318.23046875,15340.08984375,15186.2998046875,15186.2998046875,99210000
2013-06-19,15112.1904296875,15322.0703125,15112.1103515625,15315.4697265625,111380000
2013-06-20,14758.3203125,15105.509765625,14732.0302734375,15105.509765625,172630000
2013-06-21,14799.400390625,14858.5595703125,14688.4296875,14760.6201171875,420080000
2013-06-24,14659.5595703125,14795.7900390625,14551.26953125,14795.7900390625,158670000
2013-06-25,14760.3095703125,14812.0302734375,14669.6904296875,14669.6904296875,135940000
2013-06-26,14910.1396484375,14938.98046875,14769.6796875,14769.990234375,133230000
2013-06-27,15024.490234375,15075.009765625,14921.2802734375,14921.2802734375,113650000
2013-06-28,14909.599609375,15034.6298828125,14884.7998046875,15016.580078125,230000000
2013-07-01,14974.9599609375,15083.2802734375,14911.599609375,14911.599609375,120570000
2013-07-02,14932.41015625,15049.2197265625,14870.509765625,14974.9599609375,116610000
2013-07-03,14988.3701171875,15025.900390625,14858.9296875,14923.73046875,61000000
2013-07-05,15135.83984375,15137.509765625,14971.2001953125,14995.4599609375,94560000
2013-07-08,15224.6904296875,15262.7197265625,15137.2197265625,15137.2197265625,136820000
2013-07-09,15300.33984375,15320.419921875,15228.4599609375,15228.4599609375,109270000
2013-07-10,15291.66015625,15348.9501953125,15258.8896484375,15298.0302734375,105050000
2013-07-11,15460.919921875,15483.5498046875,15298.0,15298.0,124950000
2013-07-12,15464.2998046875,15498.3896484375,15410.26953125,15460.6904296875,130140000
2013-07-15,15484.259765625,15509.48046875,15455.76953125,15459.6904296875,99430000
2013-07-16,15451.849609375,15498.16015625,15415.7099609375,15485.0302734375,105970000
2013-07-17,15470.51953125,15502.0,15438.1201171875,15456.919921875,126240000
2013-07-18,15548.5400390625,15589.400390625,15465.91015625,15465.91015625,136270000
2013-07-19,15543.740234375,15544.5498046875,15491.9599609375,15524.26953125,229260000
2013-07-22,15545.5498046875,15576.2099609375,15516.2001953125,15543.9697265625,180920000
2013-07-23,15567.740234375,15604.2197265625,15544.0595703125,15547.0,98700000
2013-07-24,15542.240234375,15602.599609375,15496.83984375,15576.6904296875,99320000
2013-07-25,15555.6103515625,15560.330078125,15455.58984375,15539.169921875,103260000
2013-07-26,15558.830078125,15560.9697265625,15405.16015625,15547.849609375,94880000
2013-07-29,15521.9697265625,15557.1396484375,15482.26953125,15557.1396484375,87240000
2013-07-30,15520.58984375,15593.91015625,15479.1298828125,15534.490234375,117550000
2013-07-31,15499.5400390625,15634.3203125,15492.9599609375,15528.5703125,145120000
2013-08-01,15628.01953125,15650.6904296875,15503.849609375,15503.849609375,111040000
2013-08-02,15658.3603515625,15658.4296875,15558.6796875,15627.5595703125,104840000
2013-08-05,15612.1298828125,15655.2099609375,15584.830078125,15651.98046875,76850000
2013-08-06,15518.740234375,15608.4404296875,15473.400390625,15608.4404296875,87730000
2013-08-07,15470.669921875,15516.2099609375,15421.75,15516.2099609375,88430000
2013-08-08,15498.3203125,15557.1201171875,15418.599609375,15477.26953125,90990000
2013-08-09,15425.509765625,15507.759765625,15346.650390625,15496.6298828125,81180000
2013-08-12,15419.6796875,15441.75,15359.9296875,15415.2197265625,78060000
2013-08-13,15451.009765625,15504.1396484375,15342.33984375,15420.6796875,84790000
2013-08-14,15337.66015625,15453.080078125,15316.6201171875,15447.7099609375,91030000
2013-08-15,15112.1904296875,15332.7099609375,15094.0302734375,15332.7099609375,128340000
2013-08-16,15081.4697265625,15139.76953125,15054.3798828125,15112.5703125,151620000
2013-08-19,15010.740234375,15106.3896484375,15005.419921875,15076.7900390625,111660000
2013-08-20,15002.990234375,15074.919921875,14992.16015625,15011.8203125,102340000
2013-08-21,14897.5498046875,15019.7001953125,14880.83984375,14993.8095703125,98340000
2013-08-22,14963.740234375,14989.1201171875,14899.0,14908.599609375,153490000
2013-08-23,15010.509765625,15025.5595703125,14931.240234375,14988.7802734375,131860000
2013-08-26,14946.4599609375,15049.98046875,14945.240234375,15014.580078125,102820000
2013-08-27,14776.1298828125,14939.25,14765.419921875,14939.25,118610000
2013-08-28,14824.509765625,14867.400390625,14760.41015625,14770.990234375,104620000
2013-08-29,14840.9501953125,14916.009765625,14792.1103515625,14817.91015625,93170000
2013-08-30,14810.3095703125,14848.240234375,14762.349609375,14844.099609375,135850000
2013-09-03,14833.9599609375,14933.349609375,14777.48046875,14801.5498046875,142530000
2013-09-04,14930.8701171875,14956.740234375,14799.08984375,14832.419921875,122150000
2013-09-05,14937.48046875,14987.4697265625,14923.26953125,14929.490234375,101010000
2013-09-06,14922.5,15009.83984375,14789.400390625,14941.5498046875,108410000
2013-09-09,15063.1201171875,15088.41015625,14927.1904296875,14927.1904296875,90660000
2013-09-10,15191.0595703125,15192.1298828125,15067.23046875,15067.23046875,103200000
2013-09-11,15326.599609375,15326.599609375,15194.1298828125,15194.1298828125,102090000
2013-09-12,15300.6396484375,15345.3203125,15283.259765625,15327.1396484375,99760000
2013-09-13,15376.0595703125,15380.9697265625,15312.8603515625,15312.8603515625,90890000
2013-09-16,15494.7802734375,15549.8701171875,15381.3603515625,15381.3603515625,105740000
2013-09-17,15529.73046875,15555.0703125,15503.150390625,15503.150390625,104480000
2013-09-18,15676.9404296875,15709.580078125,15470.16015625,15533.0302734375,145410000
2013-09-19,15636.5498046875,15695.8896484375,15625.4501953125,15677.8603515625,116280000
2013-09-20,15451.08984375,15654.76953125,15448.08984375,15635.08984375,379650000
2013-09-23,15401.3798828125,15466.9501953125,15368.25,15452.3095703125,94920000
2013-09-24,15334.58984375,15433.75,15327.1396484375,15402.5400390625,85430000
2013-09-25,15273.259765625,15372.48046875,15253.16015625,15339.01953125,81890000
2013-09-26,15328.2998046875,15387.1904296875,15274.419921875,15274.419921875,79050000
2013-09-27,15258.240234375,15317.4501953125,15211.8095703125,15317.4501953125,95660000
2013-09-30,15129.669921875,15249.8203125,15086.7099609375,15249.8203125,122330000
2013-10-01,15191.7001953125,15208.400390625,15110.33984375,15132.490234375,82460000
2013-10-02,15133.1396484375,15182.650390625,15044.7099609375,15182.650390625,86090000
2013-10-03,14996.48046875,15127.23046875,14947.0302734375,15127.23046875,91300000
2013-10-04,15072.580078125,15083.990234375,14972.330078125,14994.6796875,75100000
2013-10-07,14936.240234375,15069.2998046875,14920.830078125,15069.2998046875,79620000
2013-10-08,14776.5302734375,14938.0400390625,14773.4697265625,14938.0400390625,102690000
2013-10-09,14802.98046875,14852.5,14719.4296875,14778.1904296875,103190000
2013-10-10,15126.0703125,15126.0703125,14806.3896484375,14806.3896484375,106540000
2013-10-11,15237.1103515625,15237.2998046875,15100.1298828125,15126.51953125,85730000
2013-10-14,15301.259765625,15309.48046875,15136.3798828125,15231.330078125,81420000
2013-10-15,15168.009765625,15301.91015625,15161.330078125,15300.2998046875,91440000
2013-10-16,15373.830078125,15374.150390625,15170.7001953125,15170.7001953125,92850000
2013-10-17,15371.650390625,15376.1103515625,15229.01953125,15369.4599609375,108490000
2013-10-18,15399.650390625,15412.9697265625,15321.8095703125,15371.7099609375,156660000
2013-10-21,15392.2001953125,15410.1796875,15362.66015625,15401.3203125,93660000
2013-10-22,15467.66015625,15518.099609375,15394.2197265625,15394.2197265625,107030000
2013-10-23,15413.330078125,15465.66015625,15366.1904296875,15465.33984375,90630000
2013-10-24,15509.2099609375,15528.6298828125,15414.1298828125,15414.8701171875,89240000
2013-10-25,15570.2802734375,15570.599609375,15512.9599609375,15523.7197265625,109900000
