step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,max_avalanche,avalanche_count,mean_size,power_law_exponent,price,volatility,value_delta
106,1.0700000000000007,6.850129607711315,0.0,0.0,0.0,0.0,2.0,0.0,True,6.85,0.00012960771131467156,0,0,0.0,0.0,100.0000360919003,0.0,0.0
107,1.0800000000000007,6.93762427804842,0.0,0.0,0.0,0.0,2.0,0.0,True,6.9375,0.00012427804841948881,0,0,0.0,0.0,100.00003613510289,0.0,0.0
108,1.0900000000000007,6.962619157332536,0.0,0.0,0.0,0.0,2.0,0.0,True,6.9625,0.00011915733253553765,0,0,0.0,0.0,100.00003617652892,0.0,0.0
109,1.1000000000000008,7.01261423799312,0.0,0.0,0.0,0.0,2.0,0.0,True,7.0125,0.0001142379931189329,0,0,0.0,0.0,100.00003621624805,0.0,0.0
110,1.1100000000000008,7.0376095126943135,0.0,0.0,0.0,0.0,2.0,0.0,True,7.0375000000000005,0.00010951269431264974,0,0,0.0,0.0,100.0000362543274,0.0,0.0
111,1.1200000000000008,7.062604974330405,0.0,0.0,0.0,0.0,2.0,0.0,True,7.0625,0.00010497433040419759,0,0,0.0,0.0,100.00003629083163,0.0,0.0
112,1.1300000000000008,7.112600616021151,0.0,0.0,0.0,0.0,2.0,0.0,True,7.112500000000001,0.00010061602115080902,0,0,0.0,0.0,100.0000363258231,0.0,0.0
113,1.1400000000000008,7.162596431106997,0.0,0.0,0.0,0.0,2.0,0.0,True,7.1625000000000005,9.643110699674881e-05,0,0,0.0,0.0,100.0000363593618,0.0,0.0
114,1.1500000000000008,7.212592413144206,0.0,0.0,0.0,0.0,2.0,0.0,True,7.2125,9.24131442052176e-05,0,0,0.0,0.0,100.00003639150552,0.0,0.0
115,1.1600000000000008,7.237588555899926,0.0,0.0,0.0,0.0,2.0,0.0,True,7.237500000000001,8.855589992534766e-05,0,0,0.0,0.0,100.0000364223099,0.0,0.0
116,1.1700000000000008,7.237584853347213,0.0,0.0,0.0,0.0,2.0,0.0,True,7.237500000000001,8.485334721295164e-05,0,0,0.0,0.0,100.00003645182855,0.0,0.0
117,1.1800000000000008,7.262581299660022,0.0,0.0,0.0,0.0,2.0,0.0,True,7.2625,8.129966002198187e-05,0,0,0.0,0.0,100.000036480113,0.0,0.0
118,1.1900000000000008,7.2875778892081815,0.0,0.0,0.0,0.0,2.0,0.0,True,7.2875,7.78892081820767e-05,0,0,0.0,0.0,100.00003650721288,0.0,0.0
119,1.2000000000000008,7.337574616552376,0.0,0.0,0.0,0.0,2.0,0.0,True,7.3375,7.46165523761071e-05,0,0,0.0,0.0,100.00003653317597,0.0,0.0
120,1.2100000000000009,7.387571476439131,0.0,0.0,0.0,0.0,2.0,0.0,True,7.3875,7.147643913027926e-05,0,0,0.0,0.0,100.00003655804818,0.0,0.0
121,1.2200000000000009,7.437568463795828,0.0,0.0,0.0,0.0,2.0,0.0,True,7.4375,6.846379582809391e-05,0,0,0.0,0.0,100.00003658187366,0.0,0.0
122,1.2300000000000009,7.4875655737257585,0.0,0.0,0.0,0.0,2.0,0.0,True,7.487500000000001,6.557372575830144e-05,0,0,0.0,0.0,100.00003660469493,0.0,0.0
123,1.2400000000000009,7.575062801503206,0.0,0.0,0.0,0.0,2.0,0.0,True,7.575,6.280150320591796e-05,0,0,0.0,0.0,100.00003662655286,0.0,0.0
124,1.2500000000000009,7.625060142568595,0.0,0.0,0.0,0.0,2.0,0.0,True,7.625,6.014256859437708e-05,0,0,0.0,0.0,100.0000366474867,0.0,0.0
125,1.260000000000001,7.675057592523686,0.0,0.0,0.0,0.0,2.0,0.0,True,7.675,5.759252368597549e-05,0,0,0.0,0.0,100.00003666753422,0.0,0.0
126,1.270000000000001,7.725055147126847,0.0,0.0,0.0,0.0,2.0,0.0,True,7.725,5.5147126846928115e-05,0,0,0.0,0.0,100.00003668673173,0.0,0.0
127,1.280000000000001,7.812552802288384,0.0,0.0,0.0,0.0,2.0,0.0,True,7.8125,5.280228838257055e-05,0,0,0.0,0.0,100.00003670511413,0.0,0.0
128,1.290000000000001,7.937550554065947,0.0,0.0,0.0,0.0,2.0,0.0,True,7.9375,5.0554065947531416e-05,0,0,0.0,0.0,100.0000367227149,0.0,0.0
129,1.300000000000001,8.025048398660036,0.0,0.0,0.0,0.0,2.0,0.0,True,8.025,4.839866003503976e-05,0,0,0.0,0.0,100.00003673956627,0.0,0.0
130,1.310000000000001,8.07504633240955,0.0,0.0,0.0,0.0,2.0,0.0,True,8.075000000000001,4.633240954892844e-05,0,0,0.0,0.0,100.00003675569917,0.0,0.0
131,1.320000000000001,8.100044351787462,0.0,0.0,0.0,0.0,2.0,0.0,True,8.100000000000001,4.435178746134066e-05,0,0,0.0,0.0,100.00003677114331,0.0,0.0
132,1.330000000000001,8.150042453396559,0.0,0.0,0.0,0.0,2.0,0.0,True,8.15,4.245339655863933e-05,0,0,0.0,0.0,100.00003678592725,0.0,0.0
133,1.340000000000001,8.175040633965278,0.0,0.0,0.0,0.0,2.0,0.0,True,8.175,4.063396527755479e-05,0,0,0.0,0.0,100.00003680007838,0.0,0.0
134,1.350000000000001,8.225038890343633,0.0,0.0,0.0,0.0,2.0,0.0,True,8.225,3.889034363318209e-05,0,0,0.0,0.0,100.00003681362304,0.0,0.0
135,1.360000000000001,8.35003721949924,0.0,0.0,0.0,0.0,2.0,0.0,True,8.35,3.721949924005279e-05,0,0,0.0,0.0,100.0000368265865,0.0,0.0
136,1.370000000000001,8.375035618513426,0.0,0.0,0.0,0.0,2.0,0.0,True,8.375,3.561851342715345e-05,0,0,0.0,0.0,100.000036838993,0.0,0.0
137,1.380000000000001,8.42503408457745,0.0,0.0,0.0,0.0,2.0,0.0,True,8.425,3.408457744744393e-05,0,0,0.0,0.0,100.00003685086584,0.0,0.0
138,1.390000000000001,8.475032614988782,0.0,0.0,0.0,0.0,2.0,0.0,True,8.475,3.261498878213747e-05,0,0,0.0,0.0,100.00003686222738,0.0,0.0
139,1.400000000000001,8.52503120714754,0.0,0.0,0.0,0.0,2.0,0.0,True,8.525,3.1207147539743045e-05,0,0,0.0,0.0,100.00003687309903,0.0,0.0
140,1.410000000000001,8.575029858552949,0.0,0.0,0.0,0.0,2.0,0.0,True,8.575,2.985855294963272e-05,0,0,0.0,0.0,100.00003688350142,0.0,0.0
141,1.420000000000001,8.66252856679995,0.0,0.0,0.0,0.0,2.0,0.0,True,8.6625,2.856679994968407e-05,0,0,0.0,0.0,100.0000368934543,0.0,0.0
142,1.430000000000001,8.712527329575867,0.0,0.0,0.0,0.0,2.0,0.0,True,8.712499999999999,2.7329575867356197e-05,0,0,0.0,0.0,100.00003690297657,0.0,0.0
143,1.440000000000001,8.762526144657194,0.0,0.0,0.0,0.0,2.0,0.0,True,8.7625,2.614465719338691e-05,0,0,0.0,0.0,100.00003691208644,0.0,0.0
144,1.450000000000001,8.825025009906447,0.0,0.0,0.0,0.0,2.0,0.0,True,8.825,2.5009906447146157e-05,0,0,0.0,0.0,100.00003692080134,0.0,0.0
145,1.460000000000001,8.875023923269133,0.0,0.0,0.0,0.0,2.0,0.0,True,8.875,2.392326913254601e-05,0,0,0.0,0.0,100.00003692913798,0.0,0.0
146,1.470000000000001,8.925022882770783,0.0,0.0,0.0,0.0,2.0,0.0,True,8.925,2.2882770783288014e-05,0,0,0.0,0.0,100.0000369371124,0.0,0.0
147,1.480000000000001,8.975021886514096,0.0,0.0,0.0,0.0,2.0,0.0,True,8.975000000000001,2.1886514096124456e-05,0,0,0.0,0.0,100.00003694473999,0.0,0.0
148,1.490000000000001,9.100020932676152,0.0,0.0,0.0,0.0,2.0,0.0,True,9.100000000000001,2.0932676150719028e-05,0,0,0.0,0.0,100.00003695203549,0.0,0.0
149,1.500000000000001,9.162520019505715,0.0,0.0,0.0,0.0,2.0,0.0,True,9.162500000000001,2.0019505714613838e-05,0,0,0.0,0.0,100.00003695901304,0.0,0.0
150,1.5100000000000011,9.187519145320634,0.0,0.0,0.0,0.0,2.0,0.0,True,9.1875,1.9145320631742362e-05,0,0,0.0,0.0,100.00003696568622,0.0,0.0
151,1.5200000000000011,9.237518308505294,0.0,0.0,0.0,0.0,2.0,0.0,True,9.2375,1.8308505292871497e-05,0,0,0.0,0.0,100.000036972068,0.0,0.0
152,1.5300000000000011,9.287517507508186,0.0,0.0,0.0,0.0,2.0,0.0,True,9.287500000000001,1.750750818630837e-05,0,0,0.0,0.0,100.00003697817084,0.0,0.0
153,1.5400000000000011,9.312516740839527,0.0,0.0,0.0,0.0,2.0,0.0,True,9.3125,1.674083952716938e-05,0,0,0.0,0.0,100.00003698400668,0.0,0.0
