step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,mode,metric_val,violation
0,0.03400000000000002,0.4999943788997617,0.0,0.4999943788997617,0.0,0.0,0.0003359922603526662,7.467035253248398e-122,True,0.0,0.0,tunneling,0.0003359922603526662,False
0,0.035000000000000024,0.49999421498461094,0.0,0.49999421498461094,0.0,0.0,0.0003457504101414248,6.529879346015147e-121,True,0.0,0.0,tunneling,0.0003457504101414248,False
0,0.036000000000000025,0.4999940511495575,0.0,0.4999940511495575,0.0,0.0,0.00035550153808041083,4.6987958048662554e-120,True,0.0,0.0,tunneling,0.00035550153808041083,False
0,0.037000000000000026,0.4999938873945556,0.0,0.4999938873945556,0.0,0.0,0.00036524564933718986,2.8959161452396717e-119,True,0.0,0.0,tunneling,0.00036524564933718986,False
0,0.03800000000000003,0.49999372371956,0.0,0.49999372371956,0.0,0.0,0.0003749827490752577,1.571160282463144e-118,True,0.0,0.0,tunneling,0.0003749827490752577,False
0,0.03900000000000003,0.49999356012452517,0.0,0.49999356012452517,0.0,0.0,0.00038471284245404413,7.6549803867563494e-118,True,0.0,0.0,tunneling,0.00038471284245404413,False
0,0.04000000000000003,0.4999933966094055,0.0,0.4999933966094055,0.0,0.0,0.000394435934628916,3.400247668652587e-117,True,0.0,0.0,tunneling,0.000394435934628916,False
0,0.04100000000000003,0.4999932331741556,0.0,0.4999932331741556,0.0,0.0,0.0004041520307511807,1.393296071572983e-116,True,0.0,0.0,tunneling,0.0004041520307511807,False
0,0.04200000000000003,0.49999306981873026,0.0,0.49999306981873026,0.0,0.0,0.0004138611359680897,5.316784272753491e-116,True,0.0,0.0,tunneling,0.0004138611359680897,False
0,0.04300000000000003,0.4999929065430839,0.0,0.4999929065430839,0.0,0.0,0.0004235632554228419,1.9040804207032486e-115,True,0.0,0.0,tunneling,0.0004235632554228419,False
0,0.04400000000000003,0.49999274334717136,0.0,0.49999274334717136,0.0,0.0,0.0004332583942545869,6.440857147569156e-115,True,0.0,0.0,tunneling,0.0004332583942545869,False
0,0.04500000000000003,0.4999925802309472,0.0,0.4999925802309472,0.0,0.0,0.0004429465575984285,2.069079689857777e-114,True,0.0,0.0,tunneling,0.0004429465575984285,False
0,0.046000000000000034,0.4999924171943661,0.0,0.4999924171943661,0.0,0.0,0.00045262775058542805,6.341512895745131e-114,True,0.0,0.0,tunneling,0.00045262775058542805,False
